ƒuƒ‰ƒ“ƒh,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,61,77,80,42,28,58,53,56,66,47,44,45,56,22
2,59,58,58,36,38,66,50,61,38,67,19,38,52,8
3,59,59,72,41,36,56,58,53,61,47,44,441,48,22
4,58,61,50,34,44,64,38,75,27,78,9,33,47,13
5,61,45,59,34,20,50,52,28,53,45,48,39,31,20
6,16,70,75,41,17,42,44,17,48,41,66,44,61,27
7,28,52,59,45,30,50,48,28,50,36,63,36,44,25
8,56,25,36,23,39,48,23,70,41,44,16,17,27,9
9,42,31,38,27,23,44,25,20,39,36,44,31,34,13
10,61,20,30,17,28,55,3,41,33,42,11,30,27,2
11,33,20,23,11,25,34,5,42,25,31,16,17,22,3
